hashedid,ca_consent,w5_control_treat,w5_contral_treat_label,w5_link,w5_ta,w5_link_ta_group,w5_info,w6_control_treat,w6_contral_treat_label,w6_ques,w6_short,w6_short_ques_group,w6_tues,w7_control_treat,w7_contral_treat_label,w7_wed_email,w7_afternoon_email,w7_wed_afternoon_group,w7_tip_email,w8_control_treat,w8_contral_treat_label,w8_fri_email,w8_advice_email,w8_fri_advice_group,w8_tip_email,w10_ta,w10_startnow,w10_outcome,w10_is_control,w10_is_thompson,w10_batchnumber,w10_click_time,w11_ta,w11_startnow,w11_outcome,w11_is_control,w11_is_thompson,w11_batchnumber,w11_click_time,w12_ta,w12_startnow,w12_outcome,w12_is_control,w12_is_thompson,w12_batchnumber,w12_click_time,dd_dropdate,ls_section,mt_midtermfinalscore,gb_is_completed,gb_fs_completed,gb_ms1_completed,gb_ms2_completed,gb_ms3_completed,gb_ms4_completed,gb_ms5_completed,gb_ms6_completed,gb_cv_replacement_midterm,gb_cv_researchsurveys_score,gb_cv_metaskillsurveys_score,gb_cv_prepare_score,gb_cv_perform_score,gb_cv_newprepare_score,gb_cv_newrehearse_score,gb_cv_newperform_score,ms_q101,ms_q130,ms_q132,ms_q135,ms_q135.1,ms_q137_1,ms_q137_2,ms_q137_3,ms_q137_4,ms_q234,ms_q265,ms_q300,ms_q304,ms_effort_1,ms_effort_2,ms_effort_3,ms_time_on_day_1,ms_time_on_day_2,ms_time_on_day_3,ms_time_on_day_4,ms_time_on_day_5,ms_time_on_day_6,ms_time_on_day_7,ms_gender,ms_gender_30_text,ms_post,ms_q309,ms_reason_108,ms_q313,fs_q92,fs_q98,fs_q99,fs_q103_4,fs_q103_5,fs_q105,fs_q106,fs_q107,fs_q109,fs_q117_1,fs_q117_2,fs_q117_3,fs_q117_4,fs_q117_5,fs_q117_6,fs_q117_7,fs_q123,fs_q124,fs_q185,fs_q186,fs_q225,fs_q241,fs_q73_1,fs_q73_2,fs_q79,fs_q79_5_text,fs_q93.1,cv_ms_q135.1_ali,cv_fs_q103_4_ali,cv_fs_q103_5_ali,cv_ms_q135.1_sophy,cv_fs_q103_4_sophy,cv_fs_q103_5_sophy
6d1a79c6020cef43671e2464de3108e5ad608518f94bab90ab292d8cade125e3ba7c69553f49a2c9e379ad58da7f61fd6ea0be469931bd528491d86b3242e19e,True,2.0,Get email,0.0,0.0,1.0,1.0,3.0,Get email,0.0,1.0,3.0,0.0,3.0,Get email,1.0,1.0,4.0,0.0,3.0,Get email,0.0,1.0,2.0,0.0,1.0,0.0,1.0,False,False,1.0,2020-03-17 13:07:50,,,,True,False,0.0,,,,,True,False,0.0,,,LEC 0301,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.13,100.0,100.0,30.0,44.44,100.0,100.0,100.0,1.0,4.0,Yes,4.0,Yes,5.0,5.0,5.0,5.0,3.0,6.0,3.0,3.0,0,6hours,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,,6,24.0,1.0,5.0,5.0,4.0,4.0,n,n,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,n,no,1.0,2.0,4.0,,eco major ; math minor; sta minor,4,6,6,4.0,6.0,6.0
8fcedb8531c4fa3334e2110196be7d43300c13359e463a5fd9f1a6854b9802c2ed2f08da905a77f46bc9e6cc84353437d37f2248105505a2e77325ea701d844c,True,1.0,Get email,0.0,0.0,1.0,0.0,3.0,Get email,0.0,1.0,3.0,1.0,3.0,Get email,1.0,0.0,3.0,1.0,3.0,Get email,1.0,0.0,3.0,0.0,,,,True,False,0.0,,,,,True,False,0.0,,1.0,1.0,0.0,False,True,4.0,,,LEC 5101,61.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,0.0,90.0,44.0,20.0,19.21,11.11,5.0,1.0,,1.0,,4.0,4.0,7.0,6.0,4.0,7.0,4.0,1.0,0,8,5,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,,5,25.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,6,9.0,6.0,6.0
d4cacfbac5d52b4ce906783a1f093fe9632ec9f470e618502f8cf7d585690b259db6079403969302e94176ff8d24c353df207d8dc1d8f841a3d55bac5e25f043,True,1.0,Get email,0.0,0.0,1.0,1.0,2.0,Get email,1.0,0.0,2.0,0.0,2.0,Get email,1.0,0.0,3.0,1.0,2.0,Get email,0.0,0.0,1.0,0.0,,,,True,False,0.0,,1.0,0.0,1.0,False,True,4.0,2020-03-26 17:01:54,1.0,1.0,0.0,False,False,3.0,2020-04-03 02:19:02,,LEC 0101,38.57,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,50.0,80.0,100.0,100.0,100.0,100.0,100.0,3.0,6.0,At least 2 days before due date ,2.0,I did the work earlier since receiving the message,6.0,6.0,6.0,6.0,3.0,6.0,2.0,8.0,1,2,7,6.0,5.0,7.0,4.0,3.0,7.0,7.0,2.0,,6,26.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,2.0,6.0,6.0
a524b5193ebf02fef5f594e404be3e4e3238f2c48bf915dd54f39f101cc7b06dbe5804189434ed9b4323fab699128e50405049afc0ef77fd7b89b1e27c973889,False,1.0,Get email,0.0,0.0,1.0,0.0,0.0,No email,,,,,0.0,No email,,,,,0.0,No email,,,,,1.0,0.0,0.0,False,False,3.0,,1.0,0.0,0.0,False,True,2.0,,0.0,0.0,0.0,False,True,2.0,,,LEC 0201,74.29000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,6.0,Probably should be sent out as soon as the week is posted and once more a day before its due.,3.0,Made me aware of doing my PCRS. ,4.0,6.0,7.0,7.0,4.0,4.0,5.0,3.0,4,3,3,3.0,3.0,3.0,3.0,6.0,7.0,7.0,1.0,,"3,6",23.0,4.0,7.0,7.0,6.0,7.0,Kept me on track in doing the assignments ,Nothing they accomplished their task,7.0,5.0,4.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,4.0,5.0,10.0,3.0,I'm not sure ,Office hours in person helped me a lot in completion of my assignments and learning key concepts before the midterm ,3.0,6.0,1.0,,"Economics and Ethics, Society and Law",1,1,5,1.0,2.0,5.0
4a5ac2c5ea39f95a74e302c2e6f2124e74e9b1485ed8e4e3525bc5c0b467be3ad7f6612e847eaed01e4a2e5be3055b4f6b92a285e472b61d25d348964c38a16f,True,2.0,Get email,0.0,0.0,1.0,1.0,1.0,Get email,1.0,0.0,2.0,0.0,1.0,Get email,1.0,1.0,4.0,0.0,1.0,Get email,0.0,1.0,2.0,0.0,0.0,0.0,0.0,False,True,4.0,,1.0,0.0,1.0,False,False,4.0,2020-03-26 17:04:50,1.0,1.0,1.0,False,False,4.0,2020-04-02 22:25:13,,LEC 0101,67.14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,100.0,80.0,100.0,100.0,32.0,97.7,100.0,2.0,4.0,,3.0,I will do the prepare as usual.,4.0,5.0,5.0,4.0,4.0,9.0,3.0,7.0,1,3,,,,,,7.0,,7.0,2.0,,6,25.0,4.0,8.0,4.0,6.0,5.0,,,5.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,30.0,3.0,,,5.0,5.0,4.0,,Economic and East Asian Study,5,6,6,5.0,6.0,6.0
8eb702111908b9aee5711f51f3cac9b404abc8f583b3d215bf4a88014d37f339f63147e631e4cf147e3e4300864330773860908347dbc25b6883d664dad0ec6b,True,1.0,Get email,0.0,0.0,1.0,0.0,1.0,Get email,1.0,1.0,4.0,0.0,1.0,Get email,0.0,1.0,2.0,0.0,1.0,Get email,1.0,0.0,3.0,0.0,0.0,0.0,0.0,False,True,4.0,,1.0,1.0,0.0,False,False,4.0,,,,,True,False,0.0,,,LEC 5101,78.56999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,100.0,100.0,100.0,94.22,100.0,97.7,100.0,2.0,5.0,,5.0,I was preoccupied with other courses but it motivated me to set aside time to work on the prepare,6.0,3.0,5.0,4.0,2.0,5.0,2.0,2.0,0,8,6,5.0,6.0,6.0,2.0,5.0,1.0,1.0,2.0,,4,27.0,1.0,7.0,5.0,3.0,2.0,helpful reminder,unhelpful if already started,6.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,6.0,3.0,10.0,3.0,making a plan to do courses together,,2.0,2.0,4.0,,"Major in Human Biology, Minor in Chemistry and Statistics ",2,1,1,2.0,1.0,1.0
edf0dbaa588e0b366d63a8adb8dacb6a6b1bd0a1749b566e0b640d13a8f4f1cbd8be622a9a7b9faf67c63dc030e0d60aca829bdfcce07748d51443a6132b8cb4,True,1.0,Get email,0.0,0.0,1.0,1.0,0.0,No email,,,,,0.0,No email,,,,,0.0,No email,,,,,0.0,0.0,0.0,False,False,4.0,,1.0,0.0,0.0,False,False,2.0,,1.0,0.0,1.0,False,False,3.0,2020-04-01 21:39:17,,LEC 0401,82.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,100.0,100.0,100.0,100.0,100.0,97.56,2.0,1.0,"I would just let the students work at their own pace, since if it works for them, then just let them be. If they are struggling, they should know by now how to manage their time more wisely. ",1.0,No ,4.0,4.0,4.0,5.0,2.0,7.0,2.0,9.0,more than 5 ,5 to 6 ,5,7.0,7.0,7.0,,,,7.0,2.0,,4,24.0,4.0,9.0,5.0,1.0,1.0,i dont need it since i like to finish everything before hand ,i dont need it and i think it is annoying ,4.0,1.0,6.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,7.0,100.0,3.0,i dont really know ,I dont like the emails please stop sending them theyre so annoying i dont need to be reminded to do what i am supposed to do i have everything planned out i really dont want intervention ,6.0,5.0,4.0,,"physiology specialist, cell and molecular biology major with a focus in stem cell and developmental biology ",9,5,4,9.0,5.0,2.0
dfd7822777a84d36a0e52b6a72b73a42220428e97987cd98684090e495ef8383c9ec63fea8141f9fa44d2402c18dbfc1400ead3a911a55158795364c88dfdbb7,True,2.0,Get email,0.0,0.0,1.0,0.0,0.0,No email,,,,,0.0,No email,,,,,0.0,No email,,,,,0.0,0.0,0.0,False,True,2.0,,0.0,1.0,1.0,False,False,4.0,2020-03-26 16:43:05,1.0,1.0,0.0,False,False,4.0,,,LEC 5101,65.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,100.0,100.0,70.0,100.0,100.0,99.21,100.0,1.0,4.0,it is good,4.0,yes,4.0,4.0,4.0,4.0,5.0,8.0,5.0,7.0,4,3,3,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,,1,23.0,1.0,5.0,5.0,5.0,4.0,I reminds me to do PCRS,"Sometime when i already finish it, is still got the email.",4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,9.0,5.0,5.0,5.0,4.0,I do not know ,I think i have nothing else to say ,1.0,1.0,1.0,,Math ,4,1,3,4.0,1.0,1.0
1ca0a15da130613155f3b05e8ede28140f95cff2114d1f85c22e24d98a507d393f7b79d3b0034e196f99ef35d8f868117bae3a6776da85945b78a88974e29da7,True,1.0,Get email,0.0,0.0,1.0,1.0,0.0,No email,,,,,0.0,No email,,,,,0.0,No email,,,,,0.0,0.0,0.0,False,True,4.0,2020-03-22 10:56:20,0.0,1.0,0.0,False,True,1.0,,1.0,0.0,0.0,False,False,4.0,,,LEC 0201,92.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,100.0,100.0,100.0,88.89,100.0,100.0,100.0,1.0,4.0,all good,4.0,,4.0,3.0,4.0,4.0,4.0,7.0,4.0,9.0,1,2,all,5.0,6.0,1.0,1.0,1.0,7.0,7.0,1.0,,6,24.0,2.0,2.0,3.0,5.0,4.0,remind me the deadlines,sometimes bothering me,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,,3.0,dne,no,6.0,6.0,1.0,,Economics specialist and math minor,9,1,4,9.0,1.0,4.0
b6d1b8315d2180e63cc3b0aa1c26531d68030d66c2189de9ab1467610302bc0a8283e4a87e5a6754c7d03e5ace2a8b4a46b37f26a1a67b5c014ea560d901dbbf,True,1.0,Get email,0.0,0.0,1.0,0.0,2.0,Get email,0.0,1.0,3.0,0.0,2.0,Get email,1.0,0.0,3.0,1.0,2.0,Get email,1.0,0.0,3.0,1.0,0.0,1.0,1.0,False,False,1.0,2020-03-17 13:33:04,1.0,1.0,1.0,False,True,2.0,2020-03-24 20:12:19,0.0,1.0,0.0,False,False,1.0,,,LEC 0101,94.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,5.0,,3.0,"It did motivate me, but I also had more pressing work for other courses at the time. ",5.0,5.0,6.0,6.0,2.0,5.0,2.0,7.0,0,4,All of them ,2.0,4.0,2.0,4.0,2.0,7.0,7.0,2.0,,2,24.0,2.0,3.0,3.0,3.0,3.0,I liked how they came out when links to things like the Metaskills and surveys are open. ,"I dislike how they still come even when I've done it, which makes me go back and double check whether I did it sometimes. ",3.0,3.0,5.0,5.0,2.0,2.0,9.0,9.0,9.0,3.0,1.0,5.0,4.0,,2.0,,,,,4.0,,Rotman Commerce,2,3,3,2.0,3.0,1.0
